"year","team","position","overall"
2016,"arizona_cardinals","C","77"
2016,"arizona_cardinals","C","76"
2016,"arizona_cardinals","CB","89"
2016,"arizona_cardinals","CB","80"
2016,"arizona_cardinals","CB","78"
2016,"arizona_cardinals","CB","72"
2016,"arizona_cardinals","CB","66"
2016,"arizona_cardinals","CB","65"
2016,"arizona_cardinals","CB","64"
2016,"arizona_cardinals","DT","80"
2016,"arizona_cardinals","DT","73"
2016,"arizona_cardinals","FB","65"
2016,"arizona_cardinals","FS","83"
2016,"arizona_cardinals","FS","78"
2016,"arizona_cardinals","FS","77"
2016,"arizona_cardinals","HB","77"
2016,"arizona_cardinals","HB","72"
2016,"arizona_cardinals","HB","72"
2016,"arizona_cardinals","HB","70"
2016,"arizona_cardinals","HB","70"
2016,"arizona_cardinals","HB","64"
2016,"arizona_cardinals","K","83"
2016,"arizona_cardinals","LE","95"
2016,"arizona_cardinals","LE","74"
2016,"arizona_cardinals","LE","60"
2016,"arizona_cardinals","LE","59"
2016,"arizona_cardinals","LG","88"
2016,"arizona_cardinals","LG","65"
2016,"arizona_cardinals","LG","63"
2016,"arizona_cardinals","LOLB","76"
2016,"arizona_cardinals","LOLB","73"
2016,"arizona_cardinals","LOLB","61"
2016,"arizona_cardinals","LT","90"
2016,"arizona_cardinals","MLB","84"
2016,"arizona_cardinals","MLB","78"
2016,"arizona_cardinals","MLB","76"
2016,"arizona_cardinals","MLB","74"
2016,"arizona_cardinals","MLB","68"
2016,"arizona_cardinals","MLB","63"
2016,"arizona_cardinals","P","78"
2016,"arizona_cardinals","P","73"
2016,"arizona_cardinals","QB","83"
2016,"arizona_cardinals","QB","73"
2016,"arizona_cardinals","QB","68"
2016,"arizona_cardinals","QB","63"
2016,"arizona_cardinals","RE","82"
2016,"arizona_cardinals","RE","80"
2016,"arizona_cardinals","RE","66"
2016,"arizona_cardinals","RG","77"
2016,"arizona_cardinals","RG","74"
2016,"arizona_cardinals","RG","65"
2016,"arizona_cardinals","ROLB","79"
2016,"arizona_cardinals","ROLB","77"
2016,"arizona_cardinals","ROLB","64"
2016,"arizona_cardinals","RT","79"
2016,"arizona_cardinals","RT","74"
2016,"arizona_cardinals","RT","74"
2016,"arizona_cardinals","RT","72"
2016,"arizona_cardinals","SS","77"
2016,"arizona_cardinals","SS","77"
2016,"arizona_cardinals","SS","69"
2016,"arizona_cardinals","TE","73"
2016,"arizona_cardinals","TE","72"
2016,"arizona_cardinals","TE","71"
2016,"arizona_cardinals","TE","70"
2016,"arizona_cardinals","TE","65"
2016,"arizona_cardinals","TE","65"
2016,"arizona_cardinals","WR","87"
2016,"arizona_cardinals","WR","86"
2016,"arizona_cardinals","WR","79"
2016,"arizona_cardinals","WR","74"
2016,"arizona_cardinals","WR","64"
2016,"arizona_cardinals","WR","63"
2016,"arizona_cardinals","WR","60"
2016,"atlanta_falcons","C","74"
2016,"atlanta_falcons","C","70"
2016,"atlanta_falcons","C","67"
2016,"atlanta_falcons","CB","90"
2016,"atlanta_falcons","CB","75"
2016,"atlanta_falcons","CB","71"
2016,"atlanta_falcons","CB","70"
2016,"atlanta_falcons","CB","68"
2016,"atlanta_falcons","CB","65"
2016,"atlanta_falcons","DT","83"
2016,"atlanta_falcons","DT","80"
2016,"atlanta_falcons","DT","73"
2016,"atlanta_falcons","DT","67"
2016,"atlanta_falcons","DT","66"
2016,"atlanta_falcons","FB","79"
2016,"atlanta_falcons","FB","73"
2016,"atlanta_falcons","FS","76"
2016,"atlanta_falcons","FS","76"
2016,"atlanta_falcons","FS","69"
2016,"atlanta_falcons","FS","62"
2016,"atlanta_falcons","HB","75"
2016,"atlanta_falcons","HB","75"
2016,"atlanta_falcons","HB","74"
2016,"atlanta_falcons","HB","67"
2016,"atlanta_falcons","K","91"
2016,"atlanta_falcons","LE","77"
2016,"atlanta_falcons","LE","72"
2016,"atlanta_falcons","LE","69"
2016,"atlanta_falcons","LG","83"
2016,"atlanta_falcons","LG","73"
2016,"atlanta_falcons","LG","70"
2016,"atlanta_falcons","LOLB","80"
2016,"atlanta_falcons","LOLB","74"
2016,"atlanta_falcons","LOLB","63"
2016,"atlanta_falcons","LT","75"
2016,"atlanta_falcons","LT","70"
2016,"atlanta_falcons","MLB","77"
2016,"atlanta_falcons","MLB","73"
2016,"atlanta_falcons","MLB","66"
2016,"atlanta_falcons","MLB","66"
2016,"atlanta_falcons","P","92"
2016,"atlanta_falcons","QB","90"
2016,"atlanta_falcons","QB","72"
2016,"atlanta_falcons","QB","70"
2016,"atlanta_falcons","RE","78"
2016,"atlanta_falcons","RE","77"
2016,"atlanta_falcons","RE","77"
2016,"atlanta_falcons","RE","72"
2016,"atlanta_falcons","RG","85"
2016,"atlanta_falcons","RG","72"
2016,"atlanta_falcons","ROLB","84"
2016,"atlanta_falcons","ROLB","68"
2016,"atlanta_falcons","RT","80"
2016,"atlanta_falcons","RT","73"
2016,"atlanta_falcons","RT","62"
2016,"atlanta_falcons","SS","80"
2016,"atlanta_falcons","SS","79"
2016,"atlanta_falcons","TE","77"
2016,"atlanta_falcons","TE","75"
2016,"atlanta_falcons","TE","74"
2016,"atlanta_falcons","TE","66"
2016,"atlanta_falcons","TE","62"
2016,"atlanta_falcons","WR","94"
2016,"atlanta_falcons","WR","84"
2016,"atlanta_falcons","WR","76"
2016,"atlanta_falcons","WR","74"
2016,"atlanta_falcons","WR","72"
2016,"atlanta_falcons","WR","71"
2016,"atlanta_falcons","WR","62"
2016,"atlanta_falcons","WR","61"
2016,"atlanta_falcons","WR","61"
2016,"atlanta_falcons","WR","54"
2016,"baltimore_ravens","C","82"
2016,"baltimore_ravens","C","67"
2016,"baltimore_ravens","CB","88"
2016,"baltimore_ravens","CB","82"
2016,"baltimore_ravens","CB","77"
2016,"baltimore_ravens","CB","73"
2016,"baltimore_ravens","CB","71"
2016,"baltimore_ravens","CB","71"
2016,"baltimore_ravens","CB","68"
2016,"baltimore_ravens","CB","65"
2016,"baltimore_ravens","CB","61"
2016,"baltimore_ravens","CB","61"
2016,"baltimore_ravens","DT","85"
2016,"baltimore_ravens","DT","71"
2016,"baltimore_ravens","DT","70"
2016,"baltimore_ravens","FB","86"
2016,"baltimore_ravens","FB","68"
2016,"baltimore_ravens","FS","81"
2016,"baltimore_ravens","FS","72"
2016,"baltimore_ravens","FS","68"
2016,"baltimore_ravens","HB","87"
2016,"baltimore_ravens","HB","73"
2016,"baltimore_ravens","HB","71"
2016,"baltimore_ravens","HB","67"
2016,"baltimore_ravens","K","95"
2016,"baltimore_ravens","LE","79"
2016,"baltimore_ravens","LE","74"
2016,"baltimore_ravens","LE","61"
2016,"baltimore_ravens","LG","90"
2016,"baltimore_ravens","LG","74"
2016,"baltimore_ravens","LG","60"
2016,"baltimore_ravens","LOLB","88"
2016,"baltimore_ravens","LOLB","80"
2016,"baltimore_ravens","LT","82"
2016,"baltimore_ravens","LT","59"
2016,"baltimore_ravens","MLB","90"
2016,"baltimore_ravens","MLB","88"
2016,"baltimore_ravens","MLB","73"
2016,"baltimore_ravens","MLB","69"
2016,"baltimore_ravens","MLB","56"
2016,"baltimore_ravens","P","85"
2016,"baltimore_ravens","QB","89"
2016,"baltimore_ravens","QB","74"
2016,"baltimore_ravens","QB","65"
2016,"baltimore_ravens","QB","57"
2016,"baltimore_ravens","RE","82"
2016,"baltimore_ravens","RE","69"
2016,"baltimore_ravens","RE","66"
2016,"baltimore_ravens","RE","66"
2016,"baltimore_ravens","RE","65"
2016,"baltimore_ravens","RG","98"
2016,"baltimore_ravens","RG","78"
2016,"baltimore_ravens","ROLB","93"
2016,"baltimore_ravens","ROLB","61"
2016,"baltimore_ravens","RT","86"
2016,"baltimore_ravens","RT","70"
2016,"baltimore_ravens","SS","88"
2016,"baltimore_ravens","SS","72"
2016,"baltimore_ravens","SS","65"
2016,"baltimore_ravens","TE","83"
2016,"baltimore_ravens","TE","76"
2016,"baltimore_ravens","TE","74"
2016,"baltimore_ravens","TE","71"
2016,"baltimore_ravens","TE","70"
2016,"baltimore_ravens","TE","67"
2016,"baltimore_ravens","TE","48"
2016,"baltimore_ravens","WR","86"
2016,"baltimore_ravens","WR","76"
2016,"baltimore_ravens","WR","73"
2016,"baltimore_ravens","WR","72"
2016,"baltimore_ravens","WR","71"
2016,"baltimore_ravens","WR","69"
2016,"baltimore_ravens","WR","61"
2016,"buffalo_bills","C","80"
2016,"buffalo_bills","C","75"
2016,"buffalo_bills","C","57"
2016,"buffalo_bills","CB","86"
2016,"buffalo_bills","CB","84"
2016,"buffalo_bills","CB","80"
2016,"buffalo_bills","CB","74"
2016,"buffalo_bills","CB","73"
2016,"buffalo_bills","CB","70"
2016,"buffalo_bills","CB","69"
2016,"buffalo_bills","CB","67"
2016,"buffalo_bills","CB","67"
2016,"buffalo_bills","DT","94"
2016,"buffalo_bills","DT","93"
2016,"buffalo_bills","DT","70"
2016,"buffalo_bills","DT","69"
2016,"buffalo_bills","DT","64"
2016,"buffalo_bills","FB","88"
2016,"buffalo_bills","FB","77"
2016,"buffalo_bills","FB","65"
2016,"buffalo_bills","FS","76"
2016,"buffalo_bills","FS","63"
2016,"buffalo_bills","HB","88"
2016,"buffalo_bills","HB","82"
2016,"buffalo_bills","HB","72"
2016,"buffalo_bills","HB","72"
2016,"buffalo_bills","HB","69"
2016,"buffalo_bills","K","89"
2016,"buffalo_bills","K","66"
2016,"buffalo_bills","LE","90"
2016,"buffalo_bills","LE","77"
2016,"buffalo_bills","LE","72"
2016,"buffalo_bills","LG","71"
2016,"buffalo_bills","LG","70"
2016,"buffalo_bills","LG","64"
2016,"buffalo_bills","LOLB","83"
2016,"buffalo_bills","LOLB","56"
2016,"buffalo_bills","LT","86"
2016,"buffalo_bills","MLB","78"
2016,"buffalo_bills","MLB","64"
2016,"buffalo_bills","MLB","63"
2016,"buffalo_bills","P","66"
2016,"buffalo_bills","QB","75"
2016,"buffalo_bills","QB","73"
2016,"buffalo_bills","QB","72"
2016,"buffalo_bills","QB","63"
2016,"buffalo_bills","RE","85"
2016,"buffalo_bills","RE","77"
2016,"buffalo_bills","RG","79"
2016,"buffalo_bills","RG","75"
2016,"buffalo_bills","RG","67"
2016,"buffalo_bills","ROLB","69"
2016,"buffalo_bills","ROLB","65"
2016,"buffalo_bills","ROLB","64"
2016,"buffalo_bills","RT","76"
2016,"buffalo_bills","RT","67"
2016,"buffalo_bills","SS","79"
2016,"buffalo_bills","SS","74"
2016,"buffalo_bills","SS","65"
2016,"buffalo_bills","TE","86"
2016,"buffalo_bills","TE","72"
2016,"buffalo_bills","TE","69"
2016,"buffalo_bills","WR","86"
2016,"buffalo_bills","WR","85"
2016,"buffalo_bills","WR","80"
2016,"buffalo_bills","WR","72"
2016,"buffalo_bills","WR","68"
2016,"buffalo_bills","WR","68"
2016,"buffalo_bills","WR","67"
2016,"buffalo_bills","WR","65"
2016,"buffalo_bills","WR","63"
2016,"buffalo_bills","WR","61"
2016,"buffalo_bills","WR","59"
2016,"carolina_panthers","C","87"
2016,"carolina_panthers","C","67"
2016,"carolina_panthers","CB","84"
2016,"carolina_panthers","CB","81"
2016,"carolina_panthers","CB","81"
2016,"carolina_panthers","CB","69"
2016,"carolina_panthers","CB","64"
2016,"carolina_panthers","CB","63"
2016,"carolina_panthers","CB","60"
2016,"carolina_panthers","DT","87"
2016,"carolina_panthers","DT","83"
2016,"carolina_panthers","DT","75"
2016,"carolina_panthers","DT","74"
2016,"carolina_panthers","DT","73"
2016,"carolina_panthers","DT","64"
2016,"carolina_panthers","FB","80"
2016,"carolina_panthers","FB","75"
2016,"carolina_panthers","FS","81"
2016,"carolina_panthers","FS","72"
2016,"carolina_panthers","FS","62"
2016,"carolina_panthers","HB","84"
2016,"carolina_panthers","HB","73"
2016,"carolina_panthers","HB","69"
2016,"carolina_panthers","HB","68"
2016,"carolina_panthers","HB","64"
2016,"carolina_panthers","K","87"
2016,"carolina_panthers","LE","89"
2016,"carolina_panthers","LE","77"
2016,"carolina_panthers","LE","69"
2016,"carolina_panthers","LG","79"
2016,"carolina_panthers","LG","74"
2016,"carolina_panthers","LOLB","90"
2016,"carolina_panthers","LOLB","64"
2016,"carolina_panthers","LT","72"
2016,"carolina_panthers","LT","67"
2016,"carolina_panthers","LT","59"
2016,"carolina_panthers","MLB","96"
2016,"carolina_panthers","MLB","72"
2016,"carolina_panthers","MLB","65"
2016,"carolina_panthers","MLB","64"
2016,"carolina_panthers","P","81"
2016,"carolina_panthers","QB","90"
2016,"carolina_panthers","QB","72"
2016,"carolina_panthers","QB","66"
2016,"carolina_panthers","RE","74"
2016,"carolina_panthers","RE","72"
2016,"carolina_panthers","RG","83"
2016,"carolina_panthers","RG","72"
2016,"carolina_panthers","RG","71"
2016,"carolina_panthers","ROLB","74"
2016,"carolina_panthers","ROLB","72"
2016,"carolina_panthers","ROLB","69"
2016,"carolina_panthers","RT","77"
2016,"carolina_panthers","RT","76"
2016,"carolina_panthers","RT","70"
