"year","team","position","overall"
2012,"arizona_cardinals","QB","70"
2012,"arizona_cardinals","QB","69"
2012,"arizona_cardinals","QB","68"
2012,"arizona_cardinals","QB","62"
2012,"arizona_cardinals","HB","75"
2012,"arizona_cardinals","HB","73"
2012,"arizona_cardinals","HB","73"
2012,"arizona_cardinals","HB","72"
2012,"arizona_cardinals","HB","67"
2012,"arizona_cardinals","HB","58"
2012,"arizona_cardinals","FB","69"
2012,"arizona_cardinals","FB","69"
2012,"arizona_cardinals","FB","64"
2012,"arizona_cardinals","FB","61"
2012,"arizona_cardinals","WR","96"
2012,"arizona_cardinals","WR","78"
2012,"arizona_cardinals","WR","74"
2012,"arizona_cardinals","WR","66"
2012,"arizona_cardinals","WR","63"
2012,"arizona_cardinals","WR","61"
2012,"arizona_cardinals","WR","61"
2012,"arizona_cardinals","WR","60"
2012,"arizona_cardinals","TE","71"
2012,"arizona_cardinals","TE","70"
2012,"arizona_cardinals","TE","68"
2012,"arizona_cardinals","TE","66"
2012,"arizona_cardinals","TE","62"
2012,"arizona_cardinals","LT","70"
2012,"arizona_cardinals","LT","60"
2012,"arizona_cardinals","LG","72"
2012,"arizona_cardinals","LG","64"
2012,"arizona_cardinals","C","71"
2012,"arizona_cardinals","C","65"
2012,"arizona_cardinals","RG","82"
2012,"arizona_cardinals","RT","77"
2012,"arizona_cardinals","RT","74"
2012,"arizona_cardinals","DT","74"
2012,"arizona_cardinals","DT","74"
2012,"arizona_cardinals","DT","69"
2012,"arizona_cardinals","LE","80"
2012,"arizona_cardinals","LE","66"
2012,"arizona_cardinals","LE","60"
2012,"arizona_cardinals","RE","89"
2012,"arizona_cardinals","RE","71"
2012,"arizona_cardinals","RE","58"
2012,"arizona_cardinals","RE","57"
2012,"arizona_cardinals","LOLB","78"
2012,"arizona_cardinals","LOLB","61"
2012,"arizona_cardinals","LOLB","59"
2012,"arizona_cardinals","MLB","81"
2012,"arizona_cardinals","MLB","78"
2012,"arizona_cardinals","MLB","74"
2012,"arizona_cardinals","MLB","65"
