"year","team","position","overall"
2020,"arizona_cardinals","C",66
2020,"arizona_cardinals","C",64
2020,"arizona_cardinals","C",62
2020,"arizona_cardinals","CB",92
2020,"arizona_cardinals","CB",77
2020,"arizona_cardinals","CB",75
2020,"arizona_cardinals","CB",71
2020,"arizona_cardinals","CB",71
2020,"arizona_cardinals","CB",68
2020,"arizona_cardinals","CB",60
2020,"arizona_cardinals","CB",56
2020,"arizona_cardinals","DT",76
2020,"arizona_cardinals","DT",67
2020,"arizona_cardinals","FS",80
2020,"arizona_cardinals","FS",69
2020,"arizona_cardinals","FS",65
2020,"arizona_cardinals","HB",87
2020,"arizona_cardinals","HB",72
2020,"arizona_cardinals","HB",71
2020,"arizona_cardinals","HB",61
2020,"arizona_cardinals","K",64
2020,"arizona_cardinals","LE",75
2020,"arizona_cardinals","LE",69
2020,"arizona_cardinals","LE",65
2020,"arizona_cardinals","LG",72
2020,"arizona_cardinals","LG",61
2020,"arizona_cardinals","LG",60
2020,"arizona_cardinals","LOLB",83
2020,"arizona_cardinals","LOLB",64
2020,"arizona_cardinals","LOLB",62
2020,"arizona_cardinals","LOLB",58
2020,"arizona_cardinals","LT",72
2020,"arizona_cardinals","LT",55
2020,"arizona_cardinals","MLB",80
2020,"arizona_cardinals","MLB",74
2020,"arizona_cardinals","MLB",66
2020,"arizona_cardinals","MLB",63
2020,"arizona_cardinals","MLB",53
2020,"arizona_cardinals","P",77
2020,"arizona_cardinals","QB",73
2020,"arizona_cardinals","QB",65
2020,"arizona_cardinals","QB",48
2020,"arizona_cardinals","RE",70
2020,"arizona_cardinals","RE",69
2020,"arizona_cardinals","RE",66
2020,"arizona_cardinals","RG",73
2020,"arizona_cardinals","RG",64
2020,"arizona_cardinals","RG",58
2020,"arizona_cardinals","ROLB",82
2020,"arizona_cardinals","ROLB",77
2020,"arizona_cardinals","ROLB",56
2020,"arizona_cardinals","RT",84
2020,"arizona_cardinals","RT",59
2020,"arizona_cardinals","RT",56
2020,"arizona_cardinals","RT",56
2020,"arizona_cardinals","SS",83
2020,"arizona_cardinals","SS",67
2020,"arizona_cardinals","SS",57
2020,"arizona_cardinals","TE",80
2020,"arizona_cardinals","TE",76
2020,"arizona_cardinals","TE",76
2020,"arizona_cardinals","TE",68
2020,"arizona_cardinals","TE",66
2020,"arizona_cardinals","TE",43
2020,"arizona_cardinals","WR",84
2020,"arizona_cardinals","WR",76
2020,"arizona_cardinals","WR",72
2020,"arizona_cardinals","WR",72
2020,"arizona_cardinals","WR",72
2020,"arizona_cardinals","WR",71
2020,"arizona_cardinals","WR",70
2020,"arizona_cardinals","WR",69
2020,"arizona_cardinals","WR",67
2020,"arizona_cardinals","WR",64
2020,"atlanta_falcons","C",89
2020,"atlanta_falcons","CB",88
2020,"atlanta_falcons","CB",71
2020,"atlanta_falcons","CB",68
2020,"atlanta_falcons","CB",65
2020,"atlanta_falcons","CB",62
2020,"atlanta_falcons","CB",62
2020,"atlanta_falcons","CB",55
2020,"atlanta_falcons","DT",87
2020,"atlanta_falcons","DT",75
2020,"atlanta_falcons","DT",71
2020,"atlanta_falcons","DT",70
2020,"atlanta_falcons","DT",68
2020,"atlanta_falcons","DT",66
2020,"atlanta_falcons","DT",64
2020,"atlanta_falcons","DT",56
2020,"atlanta_falcons","FB",63
2020,"atlanta_falcons","FS",81
2020,"atlanta_falcons","FS",79
2020,"atlanta_falcons","FS",59
2020,"atlanta_falcons","HB",89
2020,"atlanta_falcons","HB",76
2020,"atlanta_falcons","HB",71
2020,"atlanta_falcons","HB",65
2020,"atlanta_falcons","HB",64
2020,"atlanta_falcons","HB",63
2020,"atlanta_falcons","HB",61
2020,"atlanta_falcons","K",71
2020,"atlanta_falcons","LE",75
2020,"atlanta_falcons","LE",68
2020,"atlanta_falcons","LE",67
2020,"atlanta_falcons","LG",69
2020,"atlanta_falcons","LG",66
2020,"atlanta_falcons","LG",60
2020,"atlanta_falcons","LG",57
2020,"atlanta_falcons","LOLB",68
2020,"atlanta_falcons","LOLB",65
2020,"atlanta_falcons","LT",79
2020,"atlanta_falcons","LT",64
2020,"atlanta_falcons","LT",60
2020,"atlanta_falcons","LT",52
2020,"atlanta_falcons","MLB",90
2020,"atlanta_falcons","MLB",68
2020,"atlanta_falcons","P",78
2020,"atlanta_falcons","QB",89
2020,"atlanta_falcons","QB",56
2020,"atlanta_falcons","QB",47
2020,"atlanta_falcons","RE",78
2020,"atlanta_falcons","RE",77
2020,"atlanta_falcons","RE",64
2020,"atlanta_falcons","RG",70
2020,"atlanta_falcons","RG",68
2020,"atlanta_falcons","ROLB",79
2020,"atlanta_falcons","ROLB",71
2020,"atlanta_falcons","ROLB",64
2020,"atlanta_falcons","RT",67
2020,"atlanta_falcons","RT",52
2020,"atlanta_falcons","SS",88
2020,"atlanta_falcons","SS",68
2020,"atlanta_falcons","SS",65
2020,"atlanta_falcons","TE",85
2020,"atlanta_falcons","TE",73
2020,"atlanta_falcons","TE",71
2020,"atlanta_falcons","TE",70
2020,"atlanta_falcons","TE",60
2020,"atlanta_falcons","TE",51
2020,"atlanta_falcons","WR",98
2020,"atlanta_falcons","WR",82
2020,"atlanta_falcons","WR",79
2020,"atlanta_falcons","WR",73
2020,"atlanta_falcons","WR",63
2020,"atlanta_falcons","WR",59
2020,"baltimore_ravens","C",70
2020,"baltimore_ravens","C",63
2020,"baltimore_ravens","CB",85
2020,"baltimore_ravens","CB",84
2020,"baltimore_ravens","CB",81
2020,"baltimore_ravens","CB",77
2020,"baltimore_ravens","CB",71
2020,"baltimore_ravens","CB",67
2020,"baltimore_ravens","CB",67
2020,"baltimore_ravens","CB",67
2020,"baltimore_ravens","CB",63
2020,"baltimore_ravens","DT",92
2020,"baltimore_ravens","DT",67
2020,"baltimore_ravens","FB",79
2020,"baltimore_ravens","FS",95
2020,"baltimore_ravens","FS",65
2020,"baltimore_ravens","FS",65
2020,"baltimore_ravens","FS",61
2020,"baltimore_ravens","HB",86
2020,"baltimore_ravens","HB",76
2020,"baltimore_ravens","HB",75
2020,"baltimore_ravens","HB",70
2020,"baltimore_ravens","HB",64
2020,"baltimore_ravens","HB",64
2020,"baltimore_ravens","K",87
2020,"baltimore_ravens","LE",86
2020,"baltimore_ravens","LE",64
2020,"baltimore_ravens","LG",73
2020,"baltimore_ravens","LG",67
2020,"baltimore_ravens","LG",64
2020,"baltimore_ravens","LOLB",81
2020,"baltimore_ravens","LOLB",73
2020,"baltimore_ravens","LOLB",72
2020,"baltimore_ravens","LT",85
2020,"baltimore_ravens","LT",58
2020,"baltimore_ravens","LT",58
2020,"baltimore_ravens","MLB",74
2020,"baltimore_ravens","MLB",71
2020,"baltimore_ravens","MLB",59
2020,"baltimore_ravens","MLB",59
2020,"baltimore_ravens","MLB",55
2020,"baltimore_ravens","P",85
2020,"baltimore_ravens","P",63
2020,"baltimore_ravens","QB",76
2020,"baltimore_ravens","QB",66
2020,"baltimore_ravens","QB",55
2020,"baltimore_ravens","RE",75
2020,"baltimore_ravens","RE",71
2020,"baltimore_ravens","RG",91
2020,"baltimore_ravens","RG",58
2020,"baltimore_ravens","RG",57
2020,"baltimore_ravens","ROLB",79
2020,"baltimore_ravens","ROLB",74
2020,"baltimore_ravens","ROLB",70
2020,"baltimore_ravens","RT",79
2020,"baltimore_ravens","RT",53
2020,"baltimore_ravens","SS",84
2020,"baltimore_ravens","SS",76
2020,"baltimore_ravens","SS",67
2020,"baltimore_ravens","TE",79
2020,"baltimore_ravens","TE",78
2020,"baltimore_ravens","TE",77
2020,"baltimore_ravens","TE",39
2020,"baltimore_ravens","WR",78
2020,"baltimore_ravens","WR",77
2020,"baltimore_ravens","WR",77
2020,"baltimore_ravens","WR",72
