"year","team","position","overall"
2021,"arizona_cardinals","C",63
2021,"arizona_cardinals","CB",88
2021,"arizona_cardinals","CB",79
2021,"arizona_cardinals","CB",73
2021,"arizona_cardinals","CB",64
2021,"arizona_cardinals","CB",64
2021,"arizona_cardinals","CB",60
2021,"arizona_cardinals","CB",59
2021,"arizona_cardinals","CB",57
2021,"arizona_cardinals","DT",75
2021,"arizona_cardinals","DT",69
2021,"arizona_cardinals","DT",66
2021,"arizona_cardinals","FS",86
2021,"arizona_cardinals","FS",73
2021,"arizona_cardinals","FS",63
2021,"arizona_cardinals","HB",82
2021,"arizona_cardinals","HB",76
2021,"arizona_cardinals","HB",65
2021,"arizona_cardinals","HB",63
2021,"arizona_cardinals","K",74
2021,"arizona_cardinals","LE",69
2021,"arizona_cardinals","LE",69
2021,"arizona_cardinals","LE",65
2021,"arizona_cardinals","LG",76
2021,"arizona_cardinals","LG",69
2021,"arizona_cardinals","LG",58
2021,"arizona_cardinals","LG",55
2021,"arizona_cardinals","LOLB",95
2021,"arizona_cardinals","LOLB",66
2021,"arizona_cardinals","LT",73
2021,"arizona_cardinals","LT",56
2021,"arizona_cardinals","MLB",76
2021,"arizona_cardinals","MLB",74
2021,"arizona_cardinals","MLB",66
2021,"arizona_cardinals","MLB",61
2021,"arizona_cardinals","MLB",58
2021,"arizona_cardinals","MLB",54
2021,"arizona_cardinals","P",76
2021,"arizona_cardinals","P",66
2021,"arizona_cardinals","QB",77
2021,"arizona_cardinals","QB",64
2021,"arizona_cardinals","RE",73
2021,"arizona_cardinals","RE",66
2021,"arizona_cardinals","RE",64
2021,"arizona_cardinals","RG",73
2021,"arizona_cardinals","RG",59
2021,"arizona_cardinals","ROLB",76
2021,"arizona_cardinals","ROLB",75
2021,"arizona_cardinals","ROLB",57
2021,"arizona_cardinals","RT",75
2021,"arizona_cardinals","RT",66
2021,"arizona_cardinals","RT",65
2021,"arizona_cardinals","RT",53
2021,"arizona_cardinals","SS",78
2021,"arizona_cardinals","SS",70
2021,"arizona_cardinals","SS",65
2021,"arizona_cardinals","TE",75
2021,"arizona_cardinals","TE",66
2021,"arizona_cardinals","TE",64
2021,"arizona_cardinals","TE",62
2021,"arizona_cardinals","TE",58
2021,"arizona_cardinals","TE",32
2021,"arizona_cardinals","WR",98
2021,"arizona_cardinals","WR",83
2021,"arizona_cardinals","WR",78
2021,"arizona_cardinals","WR",72
2021,"arizona_cardinals","WR",71
2021,"arizona_cardinals","WR",70
2021,"arizona_cardinals","WR",67
2021,"arizona_cardinals","WR",66
2021,"atlanta_falcons","C",89
2021,"atlanta_falcons","C",67
2021,"atlanta_falcons","CB",73
2021,"atlanta_falcons","CB",71
2021,"atlanta_falcons","CB",70
